 topology_rogers_ca.pktDropper_Victoria_Seattle (#0 - Scenario1VicVan-0-20180716-19:59:51-12298),
8612.882,86.1279999999999856
8620.949,86.20900000000000285
8621.858,86.21799999999998905
8626.468,86.2639999999999813
8628.746,86.2870000000000058
8637.014,86.37000000000000435
8641.117,86.411000000000001
8646.508,86.465000000000003
8652.741,86.52699999999998655
8661.614,86.6159999999999851
8670.484,86.7039999999999789
8679.285,86.7920000000000013
8685.473,86.85399999999998475
8688.756,86.88700000000000015
8690.091,86.9000000000000054
8694.135,86.94100000000000215
8703.941,87.038999999999987
8709.387,87.09299999999998905
8718.105,87.18099999999998285
8724.322,87.24299999999999455
8729.349,87.29300000000000605
8733.143,87.3309999999999885
8742.366,87.42300000000000155
8747.787,87.47700000000000355
8753.201,87.531999999999982
8754.41,87.54399999999998235
8763.643,87.63599999999999535
8770.45,87.7039999999999789
8778.749,87.7870000000000058
8781.62,87.81600000000000215
8791.303,87.912999999999982
8791.733,87.9170000000000013
8800.931,88.0089999999999859
8802.092,88.0199999999999816
8802.452,88.02400000000000065
8803.516,88.0349999999999963
8805.264,88.05199999999999215
8808.429,88.0840000000000028
8812.32,88.12299999999999015
8814.785,88.146999999999991
8824.306,88.24299999999999455
8829.934,88.29900000000000625
8832.934,88.3289999999999789
8841.998,88.41899999999998235
8843.603,88.43600000000000675
8849.404,88.49399999999999935
8858.267,88.58199999999999325
8864.246,88.6419999999999955
8868.71,88.6869999999999829
8871.09,88.70999999999997915
8880.169,88.80099999999998735
8885.978,88.8589999999999801
8887.58,88.875
8889.039,88.8899999999999861
8895.65,88.9559999999999885
8899.006,88.9899999999999803
8903.409,89.0339999999999914
8909.664,89.0960000000000033
8910.429,89.10399999999998475
8914.042,89.1399999999999861
8921.007,89.20999999999997915
8930.117,89.30099999999998735
8932.591,89.32499999999998825
8941.376,89.412999999999982
8941.772,89.41700000000000125
8946.114,89.4609999999999839
8946.713,89.46699999999998415
8951.889,89.51800000000000035
8952.5,89.5250000000000054
8957.247,89.57200000000000235
8966.324,89.662999999999982
8968.168,89.68099999999998285
8975.567,89.7549999999999951
8979.915,89.79900000000000625
8988.896,89.88800000000000485
8990.772,89.906999999999982
8997.498,89.97399999999998925
9004.65,90.045999999999992
9009.939,90.09899999999998915
9015.169,90.15099999999998165
9018.213,90.18199999999998755
9021.419,90.2139999999999985
9031.399,90.31299999999998785
9031.43,90.31399999999999235
9035.052,90.34999999999999385
9041.025,90.40999999999999625
9045.731,90.45699999999999315
